epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0004,1.85709,3.55191,1.73532,0.0277,0.15024,0.02083,0.00946,2.54754,3.85767,2.26206,0.0677857,0.000325397,0.000325397
2,37.3094,1.75199,2.86463,1.59572,0.15016,0.33878,0.13233,0.06384,1.82152,2.7969,1.68545,0.0347792,0.000652209,0.000652209
3,53.1264,1.7592,2.68758,1.63193,0.20539,0.24561,0.14129,0.06447,1.82575,3.68797,1.7091,0.00176607,0.000972421,0.000972421
4,69.3882,1.77487,2.70403,1.6638,0.23685,0.32807,0.20005,0.08951,1.83435,2.97177,1.79706,0.0009703,0.0009703,0.0009703
5,85.5949,1.70051,2.63757,1.62606,0.25732,0.24082,0.20571,0.10879,1.6536,2.63818,1.63245,0.0009604,0.0009604,0.0009604
6,101.634,1.68811,2.54631,1.62797,0.09314,0.46976,0.07528,0.03875,1.75447,10.4098,1.79544,0.0009505,0.0009505,0.0009505
7,119.764,1.65582,2.49448,1.59451,0.34104,0.39707,0.25157,0.13484,1.54027,2.56174,1.5579,0.0009406,0.0009406,0.0009406
8,137.242,1.68922,2.46323,1.59226,0.2395,0.31012,0.27488,0.1515,1.57192,2.31261,1.50311,0.0009307,0.0009307,0.0009307
9,157.934,1.63531,2.40005,1.55303,0.27412,0.47927,0.31936,0.18857,1.63375,2.24082,1.5432,0.0009208,0.0009208,0.0009208
10,177.042,1.56507,2.33319,1.54348,0.27626,0.45764,0.28445,0.16164,1.53841,2.26735,1.50667,0.0009109,0.0009109,0.0009109
11,193.414,1.68847,2.41244,1.59218,0.24928,0.35983,0.24037,0.13212,1.65034,2.26815,1.57183,0.000901,0.000901,0.000901
12,209.335,1.5854,2.30198,1.55911,0.37191,0.38049,0.35046,0.17133,1.77201,2.08213,1.63025,0.0008911,0.0008911,0.0008911
13,225.615,1.57336,2.22921,1.52384,0.39116,0.48405,0.3678,0.1897,1.70182,2.14829,1.63268,0.0008812,0.0008812,0.0008812
14,241.851,1.56583,2.18501,1.5274,0.36672,0.42439,0.34479,0.21111,1.44661,2.09394,1.49488,0.0008713,0.0008713,0.0008713
15,258.038,1.55393,2.1952,1.50942,0.36385,0.41927,0.36096,0.21216,1.55315,2.29429,1.54191,0.0008614,0.0008614,0.0008614
16,276.476,1.52459,2.15836,1.47934,0.43122,0.46644,0.43531,0.23068,1.66762,1.95472,1.58335,0.0008515,0.0008515,0.0008515
17,293.275,1.53788,2.17912,1.49133,0.38279,0.52927,0.40145,0.22458,1.62894,1.99171,1.59135,0.0008416,0.0008416,0.0008416
18,309.215,1.56626,2.14911,1.50846,0.40071,0.4681,0.38501,0.20283,1.66687,2.17269,1.56689,0.0008317,0.0008317,0.0008317
19,325.365,1.46733,2.04838,1.4541,0.42009,0.3898,0.36878,0.23281,1.4379,2.17955,1.46226,0.0008218,0.0008218,0.0008218
20,341.273,1.45147,2.10977,1.43195,0.45364,0.44316,0.3826,0.19503,1.76966,2.47828,1.64727,0.0008119,0.0008119,0.0008119
21,357.521,1.46691,2.07976,1.44692,0.43306,0.46666,0.39852,0.21671,1.67739,1.96838,1.57739,0.000802,0.000802,0.000802
22,374.051,1.43195,2.0474,1.42207,0.39604,0.46707,0.41801,0.21915,1.73032,1.94413,1.59866,0.0007921,0.0007921,0.0007921
23,390.418,1.46073,2.01678,1.45314,0.37216,0.54098,0.40223,0.20435,1.74585,1.96102,1.58047,0.0007822,0.0007822,0.0007822
24,406.733,1.42836,1.95063,1.42056,0.5246,0.48927,0.45578,0.26286,1.61553,1.8269,1.54477,0.0007723,0.0007723,0.0007723
25,422.887,1.40125,1.93898,1.40887,0.50171,0.48927,0.38756,0.19604,1.71556,2.0528,1.64522,0.0007624,0.0007624,0.0007624
26,439.093,1.42221,2.01787,1.43103,0.39988,0.48836,0.38066,0.21104,1.51234,1.86662,1.44312,0.0007525,0.0007525,0.0007525
27,455.15,1.39281,1.91363,1.38389,0.42437,0.46485,0.3963,0.22819,1.61064,1.90109,1.51807,0.0007426,0.0007426,0.0007426
28,471.947,1.45682,1.95748,1.43753,0.44291,0.50674,0.46079,0.29226,1.52494,1.88731,1.48211,0.0007327,0.0007327,0.0007327
29,489.054,1.3875,1.87698,1.38429,0.51881,0.49609,0.46644,0.27917,1.46579,1.7873,1.42288,0.0007228,0.0007228,0.0007228
30,506.096,1.39911,1.86239,1.38523,0.48876,0.47,0.44659,0.24389,1.70109,1.95661,1.58265,0.0007129,0.0007129,0.0007129
31,522.214,1.39524,1.84997,1.38107,0.51379,0.43525,0.41384,0.23074,1.76626,2.07288,1.64046,0.000703,0.000703,0.000703
32,538.285,1.37395,1.83658,1.36953,0.4876,0.44387,0.40528,0.2293,1.55742,1.89275,1.47806,0.0006931,0.0006931,0.0006931
33,554.156,1.35808,1.86333,1.36042,0.47833,0.48829,0.43418,0.27093,1.41471,1.95041,1.37477,0.0006832,0.0006832,0.0006832
34,570.037,1.35857,1.8044,1.37091,0.49217,0.4961,0.43046,0.259,1.5088,1.94679,1.46417,0.0006733,0.0006733,0.0006733
35,587.062,1.3173,1.80277,1.35955,0.43449,0.57906,0.44581,0.27275,1.44431,1.87768,1.38977,0.0006634,0.0006634,0.0006634
36,603.324,1.297,1.75155,1.32948,0.46433,0.49707,0.40214,0.25608,1.43,1.93747,1.35532,0.0006535,0.0006535,0.0006535
37,619.117,1.30193,1.78746,1.33509,0.56348,0.44488,0.43639,0.28614,1.43333,1.85421,1.33355,0.0006436,0.0006436,0.0006436
38,635.658,1.27236,1.7371,1.31498,0.51474,0.49488,0.44896,0.28654,1.40665,1.79404,1.36531,0.0006337,0.0006337,0.0006337
39,651.231,1.32321,1.7867,1.33852,0.47061,0.4961,0.42858,0.28374,1.35444,2.22446,1.351,0.0006238,0.0006238,0.0006238
40,667.488,1.23985,1.67491,1.29713,0.65454,0.42049,0.45815,0.29534,1.40507,1.81428,1.3788,0.0006139,0.0006139,0.0006139
41,684.265,1.27548,1.77149,1.3436,0.47462,0.49049,0.46399,0.29958,1.46258,1.77255,1.44183,0.000604,0.000604,0.000604
42,701.809,1.29567,1.73842,1.30996,0.49778,0.47912,0.45452,0.29178,1.47135,2.04382,1.42694,0.0005941,0.0005941,0.0005941
43,717.972,1.2817,1.66275,1.29055,0.50747,0.55044,0.50641,0.31734,1.43592,1.81643,1.45201,0.0005842,0.0005842,0.0005842
44,734.128,1.26697,1.65183,1.30238,0.60634,0.48659,0.50245,0.32216,1.41641,1.8055,1.34851,0.0005743,0.0005743,0.0005743
45,750.159,1.28015,1.65042,1.30444,0.47447,0.51457,0.47417,0.31424,1.25821,1.83587,1.30721,0.0005644,0.0005644,0.0005644
46,766.43,1.21332,1.58334,1.27115,0.4622,0.52878,0.43725,0.25015,1.48194,1.8742,1.37302,0.0005545,0.0005545,0.0005545
